vehicle_id,start_time,end_time,duration_min,drop_gal,min_step_gal,pattern,n_negative_steps,cluster_id,cluster_count,is_hotspot,mid_time,is_train,y,duration_hours,duration_log,hod_sin,hod_cos,weekday,is_weekend,is_night,time_since_last_event_hours,is_first_event_of_day
GQU478,2025-03-01 08:05:50+00:00,2025-03-01 08:21:50+00:00,16.0,5.9199999999999875,1.6299999999999957,extended_15m_6gal,11,1,17,1,2025-03-01 08:13:50+00:00,True,0,0.26666666666666666,2.833213344056216,0.8362861558477597,-0.5482932295199137,5,1,0,-1.0,1
GQU478,2025-03-01 08:05:50+00:00,2025-03-01 08:12:50+00:00,7.0,1.930000000000007,1.6299999999999957,short_4_10m_3gal,2,1,8,1,2025-03-01 08:09:20+00:00,True,0,0.11666666666666667,2.0794415416798357,0.8457278217039732,-0.5336145159156115,5,1,0,0.0,0
GQU478,2025-03-01 08:13:50+00:00,2025-03-01 08:20:50+00:00,7.0,3.6799999999999784,0.4799999999999897,short_4_10m_3gal,8,1,8,1,2025-03-01 08:17:20+00:00,True,0,0.11666666666666667,2.0794415416798357,0.8265897491271889,-0.5628049276950682,5,1,0,0.13333333333333333,0
GQU478,2025-03-01 12:22:34+00:00,2025-03-01 12:43:34+00:00,21.0,4.090000000000003,0.920000000000016,extended_15m_6gal,6,2,22,1,2025-03-01 12:33:04+00:00,True,0,0.35,3.091042453358316,-0.14349262199117954,-0.9896513868196701,5,1,0,4.145555555555555,0
GQU478,2025-03-01 12:33:34+00:00,2025-03-01 12:43:34+00:00,10.0,4.090000000000003,0.920000000000016,short_4_10m_3gal,6,2,11,1,2025-03-01 12:38:34+00:00,True,0,0.16666666666666666,2.3978952727983707,-0.16504760586067743,-0.9862856015372314,5,1,0,0.18333333333333332,0
GQU478,2025-03-01 12:38:34+00:00,2025-03-01 12:44:34+00:00,6.0,4.090000000000003,0.920000000000016,short_4_10m_3gal,6,2,7,1,2025-03-01 12:41:34+00:00,True,0,0.1,1.9459101490553132,-0.1779435454738416,-0.9840406976462909,5,1,0,0.08333333333333333,0
GQU478,2025-03-01 13:34:37+00:00,2025-03-01 13:38:37+00:00,4.0,1.8899999999999864,1.0699999999999932,short_4_10m_3gal,3,-1,5,0,2025-03-01 13:36:37+00:00,True,0,0.06666666666666667,1.6094379124341003,-0.4067366430758002,-0.9135454576426009,5,1,0,0.9341666666666667,0
GQU478,2025-03-01 13:55:21+00:00,2025-03-01 13:59:21+00:00,4.0,1.2700000000000102,1.1099999999999852,short_4_10m_3gal,2,-1,5,0,2025-03-01 13:57:21+00:00,True,0,0.06666666666666667,1.6094379124341003,-0.48862124149695463,-0.8724960070727973,5,1,0,0.34555555555555556,0
GQU478,2025-03-01 15:33:40+00:00,2025-03-01 15:37:40+00:00,4.0,6.049999999999997,2.01666666666668,short_4_10m_3gal,3,-1,5,0,2025-03-01 15:35:40+00:00,True,0,0.06666666666666667,1.6094379124341003,-0.8064446042674827,-0.5913096483635822,5,1,0,1.638611111111111,0
GQU478,2025-03-01 19:30:20+00:00,2025-03-01 19:35:20+00:00,5.0,1.3299999999999983,1.0100000000000051,short_4_10m_3gal,2,-1,6,0,2025-03-01 19:32:50+00:00,True,0,0.08333333333333333,1.791759469228055,-0.92050485345244,0.39073112848927427,5,1,0,3.9444444444444446,0
