feature,importance
num__hod_cos,175
num__pre_event_distance_km,166
num__hod_sin,139
num__pre_event_avg_speed,119
num__min_step_gal_vehicle_zscore,114
num__pre_event_fuel_change,91
num__pre_event_moving_pct,79
num__p95_abs_dfuel,70
num__drop_pct_of_max,64
num__n_negative_steps,63
num__duration_min_vehicle_zscore,62
num__min_step_gal,59
num__drop_gal,37
num__window_trip_km,31
num__lon_std,24
num__lat_std,21
bin__is_weekend,21
num__n_points,20
num__drop_gal_vehicle_zscore,17
num__cluster_count,14
num__drop_pct_of_avg,14
num__coord_range_km,12
num__duration_min,10
bin__is_hotspot,4
num__speed_std,0
num__movement_variability,0
bin__speed_max,0
bin__pct_ign_on,0
bin__is_night,0
cat__pattern_extended_15m_6gal,0
cat__pattern_postjourney_off,0
cat__pattern_short_4_10m_3gal,0
