feature,importance
num__drop_pct_of_max,0.30028465
bin__is_weekend,0.08797653
num__window_trip_km,0.05853738
num__n_negative_steps__dup1,0.04696845
num__lon_std,0.045753
num__coord_range_km,0.044168193
num__drop_gal_vehicle_zscore,0.035463236
num__pre_event_avg_speed,0.035220537
num__min_step_gal,0.0326936
bin__is_night,0.031001275
num__drop_gal,0.03026053
num__lat_std,0.026613675
num__pre_event_fuel_change,0.026298786
num__duration_min_vehicle_zscore,0.025236785
num__cluster_count,0.021326352
num__min_step_gal_vehicle_zscore,0.020750713
num__pre_event_distance_km,0.019736854
num__n_points,0.015377392
num__n_negative_steps,0.015186733
num__hod_sin,0.014940669
num__pre_event_moving_pct,0.014268159
bin__is_hotspot,0.013480281
num__p95_abs_dfuel,0.013225195
num__hod_cos,0.011838803
num__drop_pct_of_avg,0.010802949
num__duration_min,0.002589224
num__movement_variability,0.0
num__speed_std,0.0
bin__speed_max,0.0
bin__pct_ign_on,0.0
cat__pattern_extended_15m_6gal,0.0
cat__pattern_postjourney_off,0.0
cat__pattern_short_4_10m_3gal,0.0
