feature,importance
num__pre_event_distance_km,187
num__hod_sin,129
num__pre_event_avg_speed,119
num__hod_cos,110
num__min_step_gal_vehicle_zscore,104
num__pre_event_fuel_change,104
num__min_step_gal,88
num__pre_event_moving_pct,74
num__drop_pct_of_max,65
bin__is_weekend,60
num__p95_abs_dfuel,55
num__n_negative_steps,55
num__drop_gal,41
num__duration_min_vehicle_zscore,41
num__window_trip_km,37
num__drop_gal_vehicle_zscore,28
num__lat_std,27
num__n_points,22
num__lon_std,22
num__drop_pct_of_avg,21
num__n_negative_steps__dup1,10
num__coord_range_km,10
num__duration_min,9
num__cluster_count,6
bin__is_hotspot,6
num__speed_std,0
num__movement_variability,0
bin__speed_max,0
bin__pct_ign_on,0
bin__is_night,0
cat__pattern_extended_15m_6gal,0
cat__pattern_postjourney_off,0
cat__pattern_short_4_10m_3gal,0
